tUnE-yArDs,Gangsta
Gil Scott-Heron,The Revolution Will Not Be Televised
Nadia Rose,Skwod
U.S. Girls,Sororal Feelings
Tricky,Black Steel
Janelle MonÃ¡e ft. Wondaland Records,Hell You Talmbout
Half Man Half Biscuit,Bad Losers on Yahoo! Chess
David Byrne,Bullet
Pulp,Babies
Holly Throsby,Aeroplane
Geese,Andrew Parsnip
LCD Soundsystem,Other Voices
Half Man Half Biscuit,Paintball's Coming Home
The Wedding Present,Everyone Thinks He Looks Daft
Chicks on Speed ft. Peaches,We Don't Play Guitars
Snapped Ankles,Hanging With The Moon
David Byrne,Doing The Right Thing
Blur,M.O.R.
Darren Hanlon,Fire Engine
!!!,Dancing Is The Best Revenge
Cobra Killer,Let's Have A Problem
Elbow,Starlings
Kate Bush,Running Up That Hill
The Wedding Present,You Jane
Courtney Barnett,Depreston
Luke Haines,Angry Man On Small Train
BjÓ§rk,Big Time Sensuality
John Grant,Voodoo Doll
Everything Is Recorded,Close But Not Quite
The Lucksmiths,Great Lengths
Hannah Peel,Goodbye Earth
Pulp,Sorted For E's & Wizz
The Streets,Let's Push Things Forward
Bobby Womack and Damon Albarn,Please Forgive My Heart
The Divine Comedy,Sunrise
Four Tet,A Joy
BjÓ§rk,It's Oh So Quiet
Art Brut,Good Weekend
LCD Soundsystem,All My Friends
Arab Strap,The Shy Retirer
The Guild League,Limited Express
David Byrne,This Is That
M. Ward,One Life Away
Powell,Her Face
Super Furry Animals,Night Vision
Beastie Boys,Intergalactic
Holly Throsby,Things Between People
Barenaked Ladies- Lovers In A Dangerous Time
Janelle MonÃ¡e ft. Grimes,Pynk
Arctic Monkeys,Fake Tales of San Francisco
Darren Hanlon,House
The Ting Tings,That's Not My Name
John Grant,Black Belt
King Creosote & Jon Hopkins,Running On Fumes
Peggy Gou,Han Jan
Daniel Johnston,True Love Will Find You in the End
Beck,Where It's At
Gavin Osborn,That's How I Know
Huw M,Worried Now, Won't Be Worried Long
Christoph de Babalon,Nostep
Yeah Yeah Yeahs,Maps
Withered Hand,Love in the Time Of Ecstasy
Erich Schwer,Sports Inspirational Speeches
Manic Street Preachers,La Tristesse Durera (Scream To A Sigh)
Galliano,Jus' Reach
The Front Bottoms,The Plan (Fuck Jobs)
Crass,Big a Little A
Gwenno,Tir Ha Mor
Alan Lomax,Mouth Music
Herman DÃ¼ne,I Wish That I Could See You Soon
Emmy The Great,Trellick Tower
David Byrne,Dog's Mind
Darren Hanlon,Elbows
John Grant,Disappointing
Petty Gou,Rose
Pixies,La La Love You
Arcade Fire,Wake Up
tUnE-yArDs,Water Fountain
Broken Social Scene,Anthem For A Seventeen Year-Old Girl
Kamp!,Arsene Wenger
Rilo Kiley,Portions for Foxes
Modest Mouse,Float On
Pony Time,Stickers
Tilly and the Wall,Fell Down the Stairs
St. Vincent,Digital Witness
The Postal Service,We Will Become Silhouettes
Pulp,The Night That Minnie Timperley Died
Deathcab for Cutie,I Will Follow You Into The Dark
Matt & Kim,Daylight
The Sultans of Ping FC,Where's Me Jumper?
Yacht,Psychic City
Clarence Carter,I'm Just A Prisoner (Of Your Good Lovin')
Cyberbully Mom Club,Drunk Text Romance
LCD Soundsystem,I Can Change
Lil Dicky ft. Chris Brown,Freaky Friday
R.E.M.,Sweetness Follows
Miike Snow,Archipelago
Modest Mouse,Dashboard
tUnE-yArDs,My Country
Thao and the Get Down Stay Down,Nobody Dies
Kingmaker,Armchair Anarchist
Mount Kimbie,T.A.M.E.D. (Ellen Allien U.F.O. Remix)
Destroyer,It's Gonna Take An Airplane
Chicks On Speed,Beat Is Happening
The Lemonheads,Into Your Arms
Broken Bells,The High Road
Little Wings,Look At What The Light Did Now
Angie Reed,I Don't Do Dirty Work Sucka
Dolly Parton,9 to 5
Pixies,Debaser
Le Tigre,TKO
LCD Soundsystem,Losing My Edge
Andrew Bird,You Woke Me Up!
Mountain Goats,First Few Desperate Hours
Jeffrey Lewis w/Jack Lewis,Time Machine
John Grant,Grey Tickles, Black Pressure
Devendra Banhart,Fancy Man
Casiotone for the Painfully Alone ft. Dear Nora,Hot Boyz
Animal Collective,FloriDada
Apex Twin,CheetahT2 (Ld spectrum)
Free Cake For Every Creature,All You've Got To Be When You're 23 is Yourself
!!!,One Girl/One Boy
The Embassy,Roundkick
The Magnetic Fields,The Luckiest Guy On The Lower East Side
Petula Clark,Downtown
David Byrne & St. Vincent,I Should Watch TV
Jans Flekman,And I Remember Every Kiss
Confidence Man,Try Your Luck
Dirty Projectors,Swing Lo Magellan
Pulp,A Little Soul
Nick Drake,Rider On The Wheel
Dan Deacon,Feel The Lightning
Bright Light Quartet,I'm Tired
Joanna Newsom,Clam, Crab, Cockle, Cowrie
Sidney Carter,Worried Now, Won't Be Worried Long
Peggy Gou,Traveling Without Arriving
Jeffrey Lewis,Back To Manhattan
Four Tet,Smile Around The Face
Snail Mail,Let's Find An Out
Richard Dawson,Wooden Bag
Elf Kid,Golden Boy
The Postal Service,We Will Become Silhouettes
Khruangbin,Evan Finds The Third Room
Ought,These 3 Things
LCD Soundsystem,Call The Police
Simian,We Are Your Friends
Simon & Garfunkel,The Boxer
Ian Dury & The Blockheads,Partial To Your Abracadabra
Neutral Milk Hotel,In The Aeroplane Over The Sea
Withered Hand,Heart Heart
Darren Hanlon,When You Go
PJ Harvey,You Said Something
The Smoke,Griffo
Nick Cave and the Bad Seeds,People Ain't No Good
Snapped Ankles,Jonny Guitar Calling Gosta Berlin
Bobby Charles,I Must Be in a Good Place Now
Airhead,Funny How
Housemartins,Flag Day
Missy Elliott,The Rain (Supa Dupa Fly)
The Modern Lovers,Pablo Picasso
The Magnetic Fields,All My Little Words
The Fall,Theme From Sparta F.C.
Seazoo,Dig
Bright Eyes,Lua
Suede,Animal Nitrate
The Housemartins,Build
The Housemartins,Bow Down
Four Tet,Sun Drums and Soil
Natalie Prass,Short Court Style
Paul Delong,Embowelment
Future Islands,Seasons (Waiting On You)
Jeremy Warmsley,I Believe In The Way You Move
Emmy The Great,MIA
The Front Bottoms,Today Is Not Real
Charles Watson,No Fanfare
Cloud Control,Gold Canary
David Byrne & St. Vincent,Weekend In The Dust
The Moldy Peaches,Anyone Else But You
The Rolling Stones,Brown Sugar
The Wedding Present,You Jane
TT,I've Been Fine
Julia Jacklin,Don' Let The Kids Win
John Grant,You & Him
Eels,Dog Faced Boy
Sparks,What The Hell Is It This Time?
Awkwafina,Yellow Ranger
Awkwafina,My Vag
Hefner,When The Angels Play Their Drum Machines
LUMP,Late To the Flight
The Lovely Eggs,Allergies
My Latest Novel,The Reputation of Ross Francis
The Weepies,Painting By Chagall
LCD Soundsystem,Beat Connection
Villagers,The Waves
James,Laid
Peaches ft. Feist,I Mean Something
Half Man Half Biscuit,Knobheads On Quiz Shows
Connie Converse,How Sad, How Lovely
Four Tet,Gong
BjÃ¶rk,Venus As A Boy
Darren Hanlon,Hold On
Jeffrey Lewis & The Junkyard,Whistle Past The Graveyard
Susanne SundfÃ¸r ft. John Grant,Mountaineers
The Divine Comedy,Everybody Knows (Except You)
Gavin Osborn,And Still They Move
Lesbians On Ecstacy,Queens On Noise (Bring Da Bunny)
Aaron Copland,Fanfare For The Common Man
Anna Meredith,Bump
David Byrne,Lazy (Live)
Haiku Hands feat. Mad Zach,Onset
Jeffrey Lewis & The Voltage,LPs
EOB,Shangri-La
Darren Hanlon,Trust Your Feelings (When You Wake)
Planningtowake,Beulah Loves Dancing
Company (2018 London Cast Recording),Sorry-Grateful
Eels,Peach Blossom
Talking Heads,Life During Wartime
Villagers,Again
Shellac,Spoke
Polvo,Fractured (Like Chandeliers)
Oliver! (1994 London Palladium Cast Recording),Food, Glorious Food
Battles feat. Sal Pincipato,Titanium 2 Step
Weyes Blood,Diary
Deerhunter,No One's Sleeping
Nocturnal Sunshine feat. Peaches,Possessed
Richard Dawson,Jogging
Pip Millett,Deeper Dark
Nadine Shah,Ladies for Babies (Goats for Love)
Janelle MonÃ¡e feat. Big Boi,Tightrope
John Grant,He's Got His Mother's Hips
Four Tet,Love Salad
Ballboy,I Love You, But I Found Country Music
Fiona Apple,Fetch the Bolt Cutters
Junior Boys,In The Morning
Death Cab for Cutie,I Dreamt We Spoke Again
Kashmere Stage Band,Kashmere
Rina Sawayama,Comme Des GarÃ§ons (Like The Boys)
Erlend Ã˜ye & La Comitiva feat. s t a r g a z e,Valdivia
Guerilla Toss,Meteorological
Hello Saferide,The Quiz
LCD Soundsystem,Pow Pow
Destroyer,It's Gonna Take An Airplane
Obongjayar,10K
Matthew Dear ft. Tegan and Sara,Bad Ones
Dirty Projectors,Break-Thru (Live At Power Station)
Joan As Police Woman,Hearts A Mess
Hamilton Leithauser,Don't Check the Score
My Latest Novel,The Reputation of Ross Francis
The Guild League,Animals
The Whitest Boy Alive,Serious
Pixies,Here Comes Your Man
Field Music,Sit Tighter
Wasuremono,Cuddling
Steve Mason,Walking Away From Love
Nick Murphy,I work for the Universe
Blur,Coffee and TV
Louden Wainwright,Middle Of The Night
The Magnetic Fields,(I Want to Join A) Biker Gang
Selah Sue,You
Caribou,Never Come Back (Morgan Geist Remix)
Bobby Darin,Beyond the Sea
Holly Herndon,Eternal
The Lucksmiths,A Hiccup In Your Happiness
Merrily We Roll Along (OBC),Now You Know
Dan Deacon,When I Was Done Dying
Villagers,Love Came With All That It Brings
Loose Tooth,All The Colours Gone
The Front Bottoms,Maps
Oscar Jerome,Sun For Someone
tUnE-yArDs,My Country
Little Simz,Offence
Keeley Forsyth,Black Bull
Joan As Police Woman,The Classic
Sparks,Gratuitous Sax
Ivor Cutler Trio,I'm Happy
LCD Soundsystem,Dance Yrself Clean (Live at Madison Square Garden)
Jeffrey Lewis & The Voltage,Take It For Granted
Loyle Carner,Mean It In The Morning
Fiona Apple,I Want You To Love Me
SAULT,Up All Night
Carl Craig,The Melody (Ishmael Ensemble Remix)
Aphex Twin,Donkey Rhubarb
David Byrne,Hell You Talmbout
Bonnie â€œPrinceâ€ Billy,After I Made Love To You
Rozi Plain,Symmetrical
Sons of Kemet,My Queen Is Doreen Lawrence
Merrily We Roll Along (2012 NY Cast Recording),Now You Know
Jane Weaver,Don't Take My Soul
Battles,Fort Greene Park
Gruff Rhys,Frontier Man
Dan Deacon,Become A Mountain
Betty Davis,Politician Man
Sleigh Bells,Rill Rill
Holly Throsby,It's Only Need
Withered Hand,Joy
The Housemartins,He Ain't Heavy, He's My Brother
Janelle MonÃ¡e feat. Erykah Badu,Q.U.E.E.N.
Art Brut & We Are Scientists,Handle With Care
The Divine Comedy,Infernal Machines
B.C. Camplight,I've Got A Bad Cold
HeCTA,Sympathy For The Auto Industry
Snapped Ankles,Letter From Hampi Mountain
St. Vincent,Hang On Me (Batu Remix)
Darren Hayman,You Are Still My Password
Nadine Shah,Kitchen Sink
The Mountain Goats,Hopeful Assassins of Zeno
The Stooges,I Wanna Be Your Dog
Haley Heynderickx,Oom Sha La La
LCD Soundsystem,Us V Them (London Session)
Field Music,Off & On
Joan As Police Woman,Not The Way
Dream Wife,Hasta La Vista
Nick Cave & The Bad Seeds,People Ain't No Good (Live from KCRW)
Villagers,The Waves
John Grant,Preppy Boy
KOKOKO!,Malembe
Everything Is Recorded ft. Sampha,Close But Not Quite
Art Tatum,Tea for Two
LCD Soundsystem,Losing My Edge
Dry Cleaning,Dog Proposal
Connie Converse,Roving Woman
Sons of Kemet,My Queen Is Harriet Tubman
Missy Elliott,Cool Off
Ibibio Sound Machine,Tell Me (Doko Mien)
Panda Bear,Cranked
Bonnie â€œPrinceâ€ Billy,I Have Made a Place
Lambchop,So Modern And So Tight
Jon Hopkins,Scene Suspended
Four Tet,Something in the Sadness
Fiona Apple,On I Go
Jeffrey Lewis,What Are You Going To Do After The Orgy?
David Byrne,Everybody's Coming to My House
RVG,Christian Neurosurgeon
Santrofi,Kwaa Kwaa
Girl Talk,All Eyes On Me
Wasuremono,Are You OK?
Sault,Don't Waste My Time
The Stroppies,Burning Bright
Moses Boyd,Rye Lane Shuffle
Sampa the Great,Final Form
PJ Harvey,This Mess We're In
Donald Byrd,Places and Spaces
They Might Be Giants,Birdhouse In Your Soul
Cloud Control,Gold Canary
LCD Soundsystem,Other Voices
Powell & Sanford feat. Sam Dowdell & Ken Kosmic,Bummer Summer
Powell,Sylvester Stallone
Modern Giant,Angie Hart
Nirvana,Come As You Are
Angie Hart,Stop Buying Things
Matthew Dear ft. Tegan and Sara,Bad Ones
Pip Millett,Like It Like That
Fiona Apple,Ladies
Warmduscher,Big Wilma
!!!,This Is The Dub
Kieran Hebden & Steve Reid,Arrival
Modest Mouse,Float On
Tops,The Hollow Sound Of The Morning Chimes
EOB,Sail On
Art Brut,Mein kleiner Bruder
Augie March,One Crowded Hour
Connie Converse,We Lived Alone
Villagers,Long Time Waiting
Jarvis Cocker,House Music All Night Long
Scott Lavene,Broke
Chicks on Speed,We Don't Play Guitars
Simian Mobile Disco ft. Deep Throat Choir,Hey Sister
David Byrne & St. Vincent,I Should Watch TV
Super Furry Animals,Check It Out
John Grant,Voodoo Doll
The Divine Comedy,Absent Friends
Arctic Monkey,Red Lights Indicates Doors Are Secure
Snapped Ankles,I Want My Minutes Back
Daisy Moon,Chambers
Bloc Party,Hunting for Witches
Fiona Apple,Newspaper
Working Men's Club,A.A.A.A.
The Lovely Eggs,Please Let Me Come Mooch Round Your House
Pip Millett,Talk About It
Peaness,Kaizen
Kate Bush,Running Up That Hill
Marika Hackman ft. Let's Eat Grandma,blow (Rosa Let's Eat Grandma Rework)
Yeasayer,Germs
Huw M,Worried Now, Won't Be Worried Long
Julia Holter,Everyday Is An Emergency
The Futureheads,Listen, Little Man!
Bonnie â€œPrinceâ€ Billy,Beware Your Only Friend
Fiona Apple,Cosmonauts
Rilo Kiley,Portions for Foxes
Darren Hayman,I Can Travel Through Time
The Guild League,Scientists
Holly Throsby,Things Between People
Haiku Hands,Manbitch
Mura Masa & slowthai,Deal Wiv It
tUnE-yArDs,Water Fountain
Sons of Kemet,My Queen Is Ada Eastman
Dave Van Ronk,Losers
Gavin Osborn,FM2030
The Postal Service,Such Great Heights
Beans on Toast,Here At Homerton Hospital
Rina Sawayama,XS
Kate Bush,Hounds of Love
The Divine Comedy,Our Mutual Friend
Sneaks,Mars in Virgo
T. Rex,20th Century Boy
Darren Hanlon,All These Things
Bon Iver,PDLIF
Iron & Wine,Naked as We Came
Lucy Dacus,Dancing in the Dark
Yard Act,100% Endurance
Anna B Savage,InFLUX (Dan Deacon Fluxed Version)
Bess Atwell,Co-op
Albertine Sarges,Free Today
Fake Dad,How Do I Cry?
Wet Leg,Wet Dream
LYR,Great Coat (Instrumental Version)
David Byrne,It's Not Dark Up Here
Gustav,We Shall Over Come (Robag Wruhme RMX-Edit.22)
Charlotte AdigÃ©ry & Bolis Pupul,Blenda
Orchestre Tout Puissant Marcel Duchamp,So Many Things (To Feel Guilty About)
Loyle Carner,Hate
Brian Eno & David Byrne,Strange Overtones
Melt Yourself Down,Pray For Me I Don't Fit In
Robag Wruhme,Ende
Yard Act,Pour Another
Emanative & Bex Burch,Disrupt #4
Matt Sweeney & Bonnie "Prince" Billy,Resist the Urge
H. Hawkline,Suppression Street
Little Simz,Gorilla
Unknown
Robag Wruhme,K.T.B.
St. Vincent,Piggy 
LCD Soundsystem,new body rhumba (from the film White Noise)
Lewsberg,Six Hills
The Lucksmiths,Great Lengths
Oliver Sim,Romance With a Memory
Folly Group,Fewer Closer Friends
St. Vincent,Piggy 
Deee-Lite,Groove Is In The Heart
Albertine Sarges,The Girls
Iron & Wine,The Trapeze Swinger
tUnE-yArDs,make it right.
Depeche Mode,Lilian (Robag Wruhme Slomoschen Kikker)
SAULT,Up All Night
Nixer,People Feel
Wu-Lu,South (feat. Lex Amor)
Kings of Convenience,Love Is A Lonely Thing (feat. Feist)
The Postal Service,Such Great Heights
Villagers,Love Came With All That It Brings
LCD Soundsystem,Losing My Edge
The WAEVE,Something Pretty
Bodega,Doers
John Grant,God's Gonna Cut You Down
Anchorsong,Expo
Broadway Revival Cast,Being Alive (from Company)
Dinosaur Jr.,Start Choppin'
DIVORCE,Checking Out
Darren Hanlon,Trust Your Feelings (When You Wake)
Warmduscher,I Got Friends
McFadden & Whitehead,Ain't No Stoppin' Us Now
Snapped Ankles,The Fish Needs a Bike
Han Ogledd,Gondoliers
McFadden & Whitehead,Ain't No Stoppin' Us Now
Wu-Lu,Scrambled Tricks
Bar Pandora,Two Colours
Sylvan Esso,Sunburn
Generationals,When They Fight, They Fight
Captain Ding Dong,Waggle Dance
Shabason & Krgovich,I Am So Happy With My Little Dog
Yard Act,Rich
PVA,Untethered
Jeffrey Lewis,You're Invited
Dan Deacon,When I Was Done Dying
My Latest Novel,The Reputation of Ross Francis
Charlotte AdigÃ©ry & Bolis Pupul,Ceci n'est pas un clichÃ©
Super Furry Animals,Fire In My Heart
Four Tet,As Serious As Your Life
Janelle MonÃ¡e,Tightrope (Feat. Big Boi)
Holly Throsby,It's Only Need
Jeffrey Lewis,Wow & Flutter
Ural Thomas & the Pain,Gimme Some Ice Cream
Emmy the Great,Writer
Diagrams,Tall Buildings
Holly Herndon,Frontier
Withered Hand,Joy
LCD Soundsystem,other voices
LYR,Never Good With Horses
Modest Mouse,Satin In A Coffin
The Divine Comedy,Gin Soaked Boy
Dry Cleaning,Gary Ashby
Anna Meredith,Nautilus
Gavin Spokes, Richard Henders & Ben Lewis,Sorry-Grateful (from Company)
Ron Tut,Basic Drummer Free Improvisation
Oliver Sim,Romance With a Memory
Planningtorock,Beulah Loves Dancing
Kate Tempest,People's Faces
Blood, Sweat & Tears,You've Made Me So Very Happy
Kings of Convenience,The Weight Of My Words (Four Tet Remix)
King Creosote & Jon Hopkins,John Taylor's Month Away
Kevin Morby,This Is a Photograph
Sneaks,Do You Want to Go Out Tonight
Gruff Rhys,Amen
Battles Feat. Sal Principato,Titanium 2 Step
Holly Throsby,Aeroplane
HeCTA,Sympathy for the Auto Industry
I Am Kloot,No Fear of Falling
John Grant,Rhetorical Figure
David Byrne & St. Vincent,Who
Elbow,Starlings
Max Grise,Hit the Pinata
Alice Skye,I Feel Better But I Don't Feel Good
Warmduscher,Midnight Dipper
Julia Jacklin,Lydia Wears a Cross
LCD Soundsystem,Dance Yrself Clean
Sufjan Stevens & Angelo De Augustine,Reach Out
Seeker Lover Keeper,Even Though I'm a Woman
Darren Hanlon,All These Things
Huw M,Worried Now Won't Be Worried Long
Snapped Ankles,I Want My Minutes Back
Pip Blom,Babies Are a Lie
Beautiful South,You Keep It All In
Kae Tempest & Kojey Radical,Move Rework
Jeffrey Lewis,Take It for Granted
Gwenno,Anima
Sleigh Bells,Rill Rill
2 Dollar Egg,Implantat (Erik Besier & Robag Wruhme RMS-Edit.22)
Albertine Sarges,Bird's Life
The Untis,High Pressure Days (Rory Phillips Remix)
The Lucksmiths,How We Met
Broken Social Scene,Anthems For a Seventeen Year Old Girl
Warmduscher,Twitchin' in the Kitchen
Herman Dune,I Wish That I Could See You Soon
SAULT,Morning Sun
Julia Jacklin,End of a Friendship
Fujiya & Miyagi,Slight Variations
Dry Cleaning,Conservative Hell
Goat,Do the Dance
Kevin Morby,Beautiful Strangers
Sananda Maitreya,Dance Little Sister
tUnE-yArDs,Cannonball
John Grant,Pale Green Ghosts
Darren Hanlon,When You Go (Radio Edit)
Charlotte AdigÃ©ry,High Lights (Edit)
The Divine Comedy,Everybody Knows (Except You)
Dream Wife,So When You Gonna...
Withered Hand,Heart Heart
Emily Breeze,Ordinary Life (Radio Edit)
Maria Chiara ArgirÃ³,Greenarp (Terracassette Remix)
Astrel K,Is It It or Is It I?
Bonnie "Prince" Billy,The Best of Folks
Nadine Shah,Ladies for Babies (Goats for Love)
James Yorkston,Woozy With Cider (Jon Hopkins Remix)
Robag Wruhme,Hugendubel
SAULT,Fight for Love
The Housemartins,The People Who Grinned Themselves To Death
Sneaks,True Killer
Arctic Monkeys,Fake Tales of San Francisco
Derek Underwood,The Archers Omnibus (hmm)
Kings of Convenience,I'd Rather Dance With You
Melt Yourself Down,Balance
LYR,Urban Myth #91
Loyle Carner,HGU
SAULT,Up All Night
Decisive Pink,Haffmilch Holiday
SAULT,Up All Night
Holly Throsby,Heart Divided
Daft Punk,Da Funk
Four Tet,smile Around the face
Jens Lekman,F-Word
Sudan Archives,Selfish Soul
Simon & Garfunkel,The Boxer
Matthew Dear,Can You Rush Them
Bon Iver,22 (OVER SâˆžâˆžN)
Prima Queen,Chew My Cheeks
Art Brut,These Animal Menswear
Deerful,Loop
Thomas Truax with Budgie & Mother Superior,Everything's Going to Be All Right
Robag Wruhme,Wuzzelbud Kk
Billy Nomates,blue bones (deathwish)
Beautiful South,A Little Time
Kae Tempest feat. Lianne La Havas,No Prizes
Holly Herndon,Eternal
LCD Soundsystem,All My Friends
BODEGA,Territorial Call of the Female
Beastie Boys,Intergalactic
Captain Wiggle,Balsam Poplar (hmm)
David Byrne,Born Under Punches (The Heat Goes On) [Live]
LUMP, Laura Marling & Mike Lindsay,We Cannot Resist
Yard Act,Tall Poppies
Blur,Brothers and Sisters
Honeyfeet,Clap Hands
Tom Waits,Clap Hands
Clap Your Hands Say Yeah,The Skin of My Yellow Country Teeth
Yeah Yeah Yeahs,Maps
The Front Bottoms,Maps
YACHT,(Downtown) Dancing
MJ Hibbert & The Validators,It Only Works Because You're Here
Kashmere Stage Band,Kashmere
Gavin Osborn and The Comment Section,Blue Plaque
Haley Heynderickx,Oom Sha La La
Steve Roach,Australian Dawn,The Quiet Earth Cries Inside
Timber Timbre,I Am Coming to Paris (To Kill You)
Sneaks,Holy Cow Never Saw a Girl Like Her
The Lucksmiths,The Chapter In Your Life Entitled San Francisco
EERA,Christine
LOOK MUM NO COMPUTER,Waiting for the Worlds to End
Sylvan Esso,Die Young
Flock, Sarathy Korwar & Bex Burch,Expand
LCD Soundsystem,Time to Get Away
Bobby Darin,Beyond the Sea
Cloud Control,Gold Canary
U.S. Girls,So Typically Now
John Grant,He's Got His Mother's Hips
Four Tet,My Angel Rocks Back and Forth
Jeffrey Lewis,What Are You Going to Do After the Orgy?
The Bright Light Social Hour,Rhubarb Jam
Robag Wruhme,Venq Tolep
Talking Heads,This Must Be the Place (Naive Melody)
The Stooges,I Wanna Be Your Dog
Little Wings,Look at What the Light Did Now
Nick Cave & The Bad Seeds,People Ain't No Good (Live from KCRW)
Dry Cleaning,Stumpwork
YACHT,My Idea
Emmy the Great,Trellick Tower
Haiku Hands,Fashion Model Art (feat. Sofi Tukker)
The "Oliver! 1994" Kids Ensemble,Food, Glorious Food
Lewsberg,Cold Light of Day
tUnE-yArDs,Bizness
Dr. Seuss,The Super-Supper March
Yeasayer,2080
Throwing Muses,Furious
Darren Hanlon & Shelley Short,I Figured You Out
Oliver Sim,Romance With a Memory
Elbow,White Noise White Heat
Bonnie "Prince" Billy,Beast For Thee
HeCTA,We Are Glistening
Bruce Cockburn,Lovers in a Dangerous Time
Chicks on Speed,We Don't Play Guitars
Hotel Lux,National Team
The Wedding Present,You Jane
Liela Moss,WOO (No One's Awake)
Young Fathers,Rice
Emmy the Great,Swimming Pool
Robag Wruhme,Komalh
Jeremy Warmsley,January
Rozi Plain feat. Alabaster dePlume,Spot Thirteen
Porridge Radio,7 Seconds
Jeffrey Lewis,Sad Screaming Old Man
Rilo Kiley,Portions for Foxes 
Jacob Banks,By Design [Evel Knievel]
NilÃ¼fer Yanya,Rid Of Me
The Postal Service,Such Great Heights
Circa Waves,Do You Wanna Talk
Kate Bush,Hounds of Love
The Guild League,Limited Express
Blur,For Tomorrow
Rozi Plain,Painted the Room
Modest Mouse,One Chance
Santigold,L.E.S. Artistes
